Model,Launch,Core name,Cores,Threads,Freq (MHz),Turbo (MHz),L3 Cache (KB),TDP (Watt),DP FLOPs/cycle,DB GFLOPS (No Turbo),DB GFLOPS/Watt,Tech (micron),Socket,FSB (MHz),L2 Cache (KB)
 E3-1235 , Apr 2011 , Sandy Bridge ,4,8,3200,3600,8192,95,8,102,1.078,0.032, Socket 1155 ,,1024
 E5-2667 , Mar 2012 , Sandy Bridge-EP ,6,12,2900,3500,15360,130,8,139,1.071,0.032, Socket 2011 , 4000 (DMI/QPI) ,1536
 E5-4617 , May 2012 , Sandy Bridge-EP ,6,6,2900,3400,15360,130,8,139,1.071,0.032, Socket 2011 , 3600 (DMI/QPI) ,1536
 E7-8893 v2 , Feb 2014 , Ivy Bridge-EX ,6,12,3400,3700,38400,155,8,163,1.053,0.022, Socket 2011-1 , 4000 (DMI/QPI) ,1536
 E3-1225 , Apr 2011 , Sandy Bridge ,4,4,3100,3400,6144,95,8,99,1.044,0.032, Socket 1155 ,,1024
 E5-2620 , Mar 2012 , Sandy Bridge-EP ,6,12,2000,2500,15360,95,8,96,1.011,0.032, Socket 2011 , 3600 (DMI/QPI) ,1536
 E5-2609 v2 , Sep 2013 , Ivy Bridge-EP ,4,4,2500,,10240,80,8,80,1.000,0.022, Socket 2011 , 3200 (DMI/QPI) ,1024
 E5-2407 v2 , Jan 2014 , Ivy Bridge-EN ,4,4,2400,,10240,80,8,77,0.960,0.022, Socket 1356 , 3200 (DMI/QPI) ,1024
 E5-2420 , May 2012 , Sandy Bridge-EN ,6,12,1900,2400,15360,95,8,91,0.960,0.032, Socket 1356 , 3600 (DMI/QPI) ,1536
 L5645 ,, Westmere-EP ,6,12,2400,2933,12288,60,4,58,0.960,0.032, Socket 1366 , 2933 (DMI/QPI) ,1536
 E5-2609 , Mar 2012 , Sandy Bridge-EP ,4,4,2400,,10240,80,8,77,0.960,0.032, Socket 2011 , 3200 (DMI/QPI) ,1024
 E5-1620 v2 , Sep 2013 , Ivy Bridge-EP ,4,8,3700,3900,10240,130,8,118,0.911,0.022, Socket 2011 ,,1024
 L5640 , Mar 2010 , Westmere-EP ,6,12,2267,2800,12288,60,4,54,0.907,0.032, Socket 1366 , 2933 (DMI/QPI) ,1536
 E5-1620 , Mar 2012 , Sandy Bridge-EP ,4,8,3600,3800,10240,130,8,115,0.886,0.032, Socket 2011 ,,1024
 E5-2407 , May 2012 , Sandy Bridge-EN ,4,4,2200,,10240,80,8,70,0.880,0.032, Socket 1356 , 3200 (DMI/QPI) ,1024
 E7-4809 v2 , Feb 2014 , Ivy Bridge-EX ,6,12,1900,,12288,105,8,91,0.869,0.022, Socket 2011-1 , 3200 (DMI/QPI) ,1536
 E5-2637 v2 , Sep 2013 , Ivy Bridge-EP ,4,8,3500,3800,15360,130,8,112,0.862,0.022, Socket 2011 , 4000 (DMI/QPI) ,1024
 L5630 , Mar 2010 , Westmere-EP ,4,8,2133,2400,12288,40,4,34,0.853,0.032, Socket 1366 , 2933 (DMI/QPI) ,1024
 L5639 ,, Westmere-EP ,6,12,2133,2667,12288,60,4,51,0.853,0.032, Socket 1366 , 2933 (DMI/QPI) ,1536
 E7-8867L , Apr 2011 , Westmere-EX ,10,20,2133,2533,30720,105,4,85,0.813,0.032, Socket 1567 , 3200 (DMI/QPI) ,2560
 E5-2643 , Mar 2012 , Sandy Bridge-EP ,4,8,3300,3500,10240,130,8,106,0.812,0.032, Socket 2011 , 4000 (DMI/QPI) ,1024
 L5638 , Mar 2010 , Westmere-EP ,6,12,2000,2400,12288,60,4,48,0.800,0.032, Socket 1366 , 2933 (DMI/QPI) ,1536
 X5675 , Feb 2011 , Westmere-EP ,6,12,3067,3467,12288,95,4,74,0.775,0.032, Socket 1366 , 3200 (DMI/QPI) ,1536
 E5649 , Feb 2011 , Westmere-EP ,6,12,2533,2933,12288,80,4,61,0.760,0.032, Socket 1366 , 2933 (DMI/QPI) ,1536
 L5609 , Mar 2010 , Westmere-EP ,4,4,1867,,12288,40,4,30,0.747,0.032, Socket 1366 , 2400 (DMI/QPI) ,1024
 L5618 , Mar 2010 , Westmere-EP ,4,8,1867,2267,12288,40,4,30,0.747,0.032, Socket 1366 , 2933 (DMI/QPI) ,1024
 X5670 , Mar 2010 , Westmere-EP ,6,12,2933,3333,12288,95,4,70,0.741,0.032, Socket 1366 , 3200 (DMI/QPI) ,1536
 E5-4603 v2 , Mar 2014 , Ivy Bridge-EP ,4,8,2200,,10240,95,8,70,0.741,0.022, Socket 2011 , 3200 (DMI/QPI) ,1024
 E7-2870 , Apr 2011 , Westmere-EX ,10,20,2400,2800,30720,130,4,96,0.738,0.032, Socket 1567 , 3200 (DMI/QPI) ,2560
 E7-4870 , Apr 2011 , Westmere-EX ,10,20,2400,2800,30720,130,4,96,0.738,0.032, Socket 1567 , 3200 (DMI/QPI) ,2560
 E7-8870 , Apr 2011 , Westmere-EX ,10,20,2400,2800,30720,130,4,96,0.738,0.032, Socket 1567 , 3200 (DMI/QPI) ,2560
 E5-1607 , Mar 2012 , Sandy Bridge-EP ,4,4,3000,,10240,130,8,96,0.738,0.032, Socket 2011 ,,1024
 E5-1607 v2 , Sep 2013 , Ivy Bridge-EP ,4,4,3000,,10240,130,8,96,0.738,0.022, Socket 2011 ,,1024
 E5-2403 , May 2012 , Sandy Bridge-EN ,4,4,1800,,10240,80,8,58,0.720,0.032, Socket 1356 , 3200 (DMI/QPI) ,1024
 E5-2403 v2 , Jan 2014 , Ivy Bridge-EN ,4,4,1800,,10240,80,8,58,0.720,0.022, Socket 1356 , 3200 (DMI/QPI) ,1024
 E5645 , Mar 2010 , Westmere-EP ,6,12,2400,2800,12288,80,4,58,0.720,0.032, Socket 1366 , 2933 (DMI/QPI) ,1536
 E5-2603 , Mar 2012 , Sandy Bridge-EP ,4,4,1800,,10240,80,8,58,0.720,0.032, Socket 2011 , 3200 (DMI/QPI) ,1024
